alpha,gamma,qm_energy,energy_rel
135,75,-1142.566055768,7.003725840305912
135,90,-1142.560024809,10.78820689149951
135,105,-1142.559964812,10.82585554889736
135,120,-1142.552642394,15.420738745695724
135,135,-1142.55396739,14.589291830735542
135,150,-1142.560729069,10.346277403146683
135,165,-1142.565739369,7.202269060387382
135,180,-1142.566371513,6.8055930111934435
135,195,-1142.565936642,7.078478477485316
135,210,-1142.563627489,8.527492767325885
135,225,-1142.561098431,10.114499423950662
135,240,-1142.561179331,10.063733945814752
135,255,-1142.567689188,5.9787400895498095
135,270,-1142.570416286,4.267461550716135
135,285,-1142.572181909,3.1595172276198324
135,300,-1142.571696283,3.464251913253634
135,315,-1142.569366821,4.926010283433129
135,330,-1142.564944768,7.700888339329233
135,345,-1142.562442252,9.271239652004347
150,0,-1142.567725354,5.956045599073015
150,15,-1142.56962959,4.761120370965942
150,30,-1142.571508332,3.582192857339956
150,45,-1142.572108517,3.2055713680703657
150,60,-1142.569376638,4.919850027522987
150,75,-1142.56669945,6.59980959221934
150,90,-1142.56082332,10.287134052347456
150,105,-1142.562288069,9.367990872119735
150,120,-1142.561968382,9.568597341803406
150,135,-1142.561203694,10.048445944069158
150,150,-1142.56557129,7.307740145664035
150,165,-1142.568638098,5.38329052433865
150,180,-1142.566827692,6.519336582995254
